id,name,name_length,menus_appeared,times_appeared,first_appeared,last_appeared,lowest_price,highest_price
213,Irish stew,10,161,192,1864,1955,0,0.5
215,Lobster salad,13,1513,1568,1858,1995,0,100
216,Potato salad,12,1306,1336,1881,1987,0,25
217,Chicken salad,13,1819,1889,1858,1987,0,100
218,Spinach with egg,16,211,217,1896,1965,0.1,20
219,Boiled potatoes,15,2080,2135,1858,1974,0,20
220,Baba au rhum,12,103,108,1882,1985,0,25
222,Tongue,6,693,735,1851,1965,0,95
223,Lemon ice cream,15,134,134,1852,1981,0,25
224,Pickled lambs' tongues,22,54,54,1895,1962,0.3,0.5
226,Apricots,8,242,252,1883,2012,0,0.75
227,Red currant jam,15,5,5,1900,1921,0.15,0.15
228,Chipped beef,12,55,55,1892,1953,0,40
229,Turkey,6,434,445,1851,1987,0,80
230,Crackers,8,965,985,1854,1987,0,10
231,Chocolate,9,1488,1566,1858,1987,0,30
232,Roast beef,10,1224,1334,1851,1987,0,75
233,Corned beef,11,821,879,1862,1985,0,50
234,Boned capon,11,137,137,1892,1917,0.4,60
235,Lamb,4,428,438,1865,1949,0,60
236,Cumberland ham,14,66,66,1896,1938,0,0
237,Chicken,7,678,819,1866,1985,0,125
238,Fried Eggs,10,549,564,1856,1987,0,20
240,Roast veal,10,69,73,1856,1957,0,20
241,Rolls,5,431,494,1881,1989,0,2.5
242,Griddle cakes,13,128,138,1858,1987,0,3.85
244,Porterhouse Steak,17,260,266,1884,1962,0,5
246,Tenderloin Steak,16,588,612,1858,1980,0.15,80
252,Small Steak,11,383,389,1892,1957,0,75
253,Hamburger Steak,15,319,360,1893,1987,0,20
256,Pork Chops,10,408,433,1853,1988,0,40
257,Ham & Eggs,10,24,24,1881,1964,0,4.95
258,Bacon & Eggs,12,26,26,1900,1957,0,4.75
259,Fried Liver,11,29,31,1856,1961,0,10
260,German Pancake,14,206,212,1889,1969,0.15,3.95
266,Box Stew,8,90,95,1892,1939,0.2,40
272,Eggs au Beurre Noir,19,45,46,1896,1941,0.19,30
275,Sirloin Steak with Mushrooms,28,231,233,1884,1939,0,75
276,Grilled Ham,11,51,53,1892,1989,0,5.5
277,Calves Liver & Bacon,20,18,18,1900,1958,0.4,2.75
281,Marmalade,9,719,752,1888,1973,0,25
282,Jam,3,248,267,1892,1981,0,1.25
283,Cocoa,5,1636,1704,1865,1987,0,25
284,Oat Meal,8,68,81,1880,1957,0.1,0.4
286,Scrambled Eggs,14,571,586,1853,1987,0,28
287,Poached Eggs on Toast,21,348,352,1892,1968,0,20
288,Broiled Fresh Mackerel,22,120,132,1887,1962,0,2.5
315,Dry Toast,9,719,743,1856,1981,0,10
317,Graham Muffins,14,60,60,1897,1940,0.1,0.2
320,Hot Cakes,9,32,32,1900,1969,0,0.5
321,Tea and Coffee,14,42,42,1900,1937,0.1,0.1
331,Veal and Ham Pie,16,50,50,1900,1971,0,1
332,Roast Lamb,10,202,205,1851,1957,0,80
333,Fried Flounder,14,28,29,1899,1937,0,0
336,oatmeal with cream,18,104,104,1897,1952,0.1,25
337,broiled shad,12,119,125,1881,1940,0.25,60
338,Milk stew,9,48,52,1894,1947,0.2,40
339,Boston Stew,11,77,84,1900,1939,0.2,0.6
343,Beef Steak,10,58,58,1865,1944,0,1
344,Saratoga Chips,14,415,444,1881,1969,0.05,0.3
349,Tartare Sauce,13,16,16,1900,1963,0,0.15
350,Sausage,7,55,57,1894,1987,0,25
353,Sliced Pineapples,17,3,3,1896,1918,0.25,0.25
355,Broiled Salt Mackerel,21,131,136,1859,1949,0,0.8
356,Shad roe and bacon,18,64,66,1899,1963,0.2,3.5
359,Steak Pie,9,4,4,1901,1917,0.15,0.2
360,Mutton,6,282,328,1865,1917,0.15,60
364,Boston Box Stew,15,7,7,1900,1919,0.3,0.4
365,Fry,3,30,36,1900,1919,0.15,50
366,Fry with Bacon,14,11,11,1900,1919,0.35,0.6
367,Oyster Omelette,15,71,85,1892,1946,0.2,25
368,Stewed Tripe,12,37,38,1856,1943,0.1,10
369,Pork Sausage,12,27,27,1900,1958,0.25,0.35
372,Mock Turtle,11,140,142,1865,1966,0,40
375,Puree of Tomatoes,17,104,105,1866,1939,0.1,0.4
377,Consomme Plain,14,30,30,1887,1937,0.15,25
382,Consomme San Remo,17,4,4,1900,1962,0.2,0.2
383,Gebackene Kartoffeln,20,154,157,1900,1969,0.75,0.75
385,Eggs to order,13,263,264,1891,1973,,
389,Consomme Printanier,19,48,53,1891,1959,0,0.4
391,Chicken Mulligatawny,20,38,41,1897,2001,0.2,0.4
393,Blue Point Stew,15,3,3,1900,1917,0.35,0.35
394,French bread,12,291,293,1882,1970,0.05,0.15
395,Corn bread,10,270,272,1853,1941,0,10
396,Crumb Fry,9,8,10,1900,1919,0.3,0.45
398,Beef Stew,9,83,93,1899,1980,0,15
399,Tomato Soup,11,317,352,1852,1974,0,10
400,Blue Point Fry,14,2,2,1901,1917,0.35,0.4
407,Fruit in Season,15,193,202,1890,1987,0,20
408,GREEN PEAS,10,1343,1380,1858,1985,0,75
410,Stewed california prunes,24,8,8,1900,1948,0.15,0.3
411,Ham omelette,12,147,153,1891,1985,0,15
412,Fried hominy,12,190,190,1881,1967,0.1,0.25
413,Broiled bluefish,16,218,225,1880,1963,0.2,60
417,Boiled or Broiled Salt Mackerel,31,13,13,1900,1917,0.25,40
418,Whitefish,9,44,45,1900,1917,0.3,0.75
421,Fried Scollops,14,36,36,1865,1917,0.25,0.85
422,Breakfast Bacon,15,188,191,1891,1969,0.15,0.75
425,English Mutton Chops,20,82,82,1889,1958,0.25,50
426,Broiled Spring Chicken,22,226,231,1859,1958,0.1,100
429,"Corned Beef Hash, Browned",25,59,61,1898,1940,0.15,30
433,Eggs as Ordered,15,82,83,1898,1949,,
439,French Fried,12,63,65,1893,1973,0,30
440,Lyonnaise,9,103,105,1894,1967,0,35
441,Stewed in Cream,15,26,27,1900,2928,0.15,40
442,Saute,5,30,31,1900,1961,0.15,15
444,Shredded Wheat Biscuits,23,33,33,1899,1921,0,0.3
445,Vienna Rolls,12,143,144,1891,1954,0.03,0.15
448,Corn Meal Mush,14,29,29,1892,1918,0.1,0.1
449,Boiled,6,53,54,1851,1967,0,25
453,Broiled Blue Fish,17,44,49,1865,1957,0.2,3.75
461,Kippered Herrings,17,125,125,1899,1955,0,0.5
466,"Eggs, boiled",12,168,172,1880,1970,0.1,20
470,Hard Boiled Egg,15,11,11,1900,1948,0.05,0.75
471,Cream Cheese,12,971,1056,1887,1980,0,25
478,Shirred Eggs,12,342,347,1858,1969,0,19
479,Broiled Salmon Trout,20,9,9,1891,1957,2,2
486,Apfel,5,86,86,1899,1972,0,0
491,Yarmouth Bloaters,17,85,85,1892,1958,0.2,0.75
502,Jambon Grille,13,9,9,1900,1937,0,0.5
510,Dry and buttered Toast,22,13,13,1900,1935,0,0
514,Honey in the Comb,17,50,50,1900,1917,0.2,0.4
518,Quail on Toast,14,43,43,1889,1958,0.4,0.6
532,Scrambled Eggs and Bacon,24,8,8,1900,1945,0.4,25
533,liver and bacon,15,140,147,1889,1962,0.1,15
535,Fried Chicken a la Maryland,27,28,28,1898,1958,0.2,5.6
536,Fried sole,10,65,65,1899,1961,0,0.4
537,Salt mackerel,13,327,333,1859,1945,0,30
539,Cold Ham with Potato Salad,26,36,36,1900,1955,0,1.75
544,Oyster Stew,11,431,455,1882,1982,0,50
545,Hot Breads,10,17,17,1901,1954,0,0
549,"Baked Apple Dumpling, Hard Sauce",32,15,15,1900,1953,0.1,0.3
552,Boiled Cabbage,14,21,22,1900,1962,0.05,0.35
553,Strawberries and Cream,22,340,359,1880,1969,0,50
556,Roast in shell,14,4,4,1900,1918,0.5,40
562,Fruit Pie,9,36,36,1900,1981,0,1.2
563,Chocolate Pudding with Cream,28,16,17,1901,1985,0.05,0.4
568,Cold Ham,8,593,599,1854,1972,0,45
569,Cup Custard,11,884,952,1854,2928,0,25
570,Codfish Cakes,13,198,209,1859,1949,0,30
572,Lettuce,7,921,974,1859,1988,0,35
577,Calf's Liver Saute,18,8,8,1900,1952,0.4,2.25
578,Brazil Nuts,11,28,28,1852,1948,0.15,0.3
580,Cheshire Cheese,15,91,91,1865,1974,0.15,0.35
581,Stilton Cheese,14,286,323,1881,1987,0,10
589,Breakfast Rolls,15,41,45,1899,1967,0,0.3
595,Hot Rolls,9,382,406,1853,1983,0.05,0.25
628,Fried Whiting,13,26,26,1900,1917,0,45
632,Flannel Cakes,13,28,28,1889,1937,0.1,0.3
641,Broiled Lamb Chops,18,76,79,1891,1967,0,5.25
647,Fried Bananas,13,57,57,1886,1975,0.25,0.4
648,Egg to Order,12,17,17,1900,1948,,
650,Boiled potato,13,74,74,1893,1965,0.05,0.7
651,Currant Buns,12,54,54,1896,1965,0.05,0.1
653,Waffle,6,28,28,1900,1969,0,0.8
655,Broiled or Fried Spring Chicken,31,4,4,1900,1921,0.65,250
660,Dipped Toast,12,201,206,1859,1958,0,15
663,Curried Chicken with Rice,25,152,157,1900,2928,0,3
667,Mutton Chops,12,627,638,1851,1958,0,60
668,Potato Chips,12,24,24,1900,1987,0.15,0.75
678,Coffee Cake,11,129,135,1893,1987,0.05,5
684,Pettijohn,9,10,10,1901,1949,0.2,0.2
688,Spanish Omelettes,17,5,5,1894,1938,0.5,0.55
689,Calves Liver and Onions,23,8,8,1900,1917,0.15,0.4
692,Jacket Potatoes,15,87,88,1898,1974,0,0
695,Onions,6,159,161,1852,1987,0,0.5
697,Maple Syrup,11,146,146,1896,1962,0,0.1
699,Fried Fresh Fish,16,71,71,1897,1943,0.35,0.8
700,Honey,5,304,307,1881,1973,0,25
715,Broiled Lobster,15,108,116,1887,1961,0,60
725,Lynnhavens,10,354,423,1896,2928,0,50
726,Hamburger Steak and Onions,26,6,6,1900,1918,0.15,0.2
727,Pork Sausages,13,17,17,1901,1972,0,0
732,Cape Cods,9,455,499,1896,1968,0.2,45
734,Hamburg Steak with Fried Onions,31,8,8,1900,1921,0.15,0.75
735,Mashed Turnips,14,369,381,1856,1955,0,25
737,Potatoes,8,303,336,1856,2928,0,15
738,Potatoes Saute,14,101,105,1881,1973,0.1,0.4
739,Cherrystones,12,519,524,1891,2928,0,45
741,Eclairs,7,138,155,1898,1987,0,25
743,Pies,4,130,137,1887,1987,0.05,1.25
747,Hot Biscuits,12,40,42,1898,1959,0,0.15
748,Bloaters,8,40,40,1900,1970,0.5,0.5
750,Broiled Lamb Kidneys and Bacon,30,9,9,1900,1919,0.25,0.5
751,Toast,5,430,494,1858,1989,0,1.05
754,Jelly omelette,14,94,101,1900,1985,0,25
760,St. Julien Superieur,20,7,8,1886,1937,0.5,3.5
761,Pontet Canet,12,365,400,1859,1955,0,200
762,Haut Sauternes,14,263,290,1865,1973,0,150
763,Sherry,6,397,420,1866,1990,0,3.5
764,Laubenheimer,12,257,278,1881,1955,0,100
765,Smoked Tongue,13,122,122,1859,1963,0.2,2.65
766,Niersteiner,11,340,364,1864,1983,0,100
767,Hochheimer,10,238,252,1852,1918,0,150
770,Pommery Sec,11,265,269,1881,1918,0,400
772,"Moet & Chandon, White Seal",26,268,272,1884,1949,1.4,350
778,Blue Point Oysters,18,473,512,1887,1987,0,40
781,Bisque of Crawfish,18,18,18,1889,1924,0.25,0.45
787,"New Asparagus, Cream Sauce",26,4,4,1900,1916,0.15,0.15
790,Celery Salad,12,412,426,1882,1973,0,60
791,Fancy Ice Cream,15,161,161,1887,1953,0.25,0.5
794,Cakes,5,376,383,1887,1988,0,2.75
800,BAKED SWEET POTATOES,20,312,313,1852,1965,0.05,30
808,Kaffee,6,828,867,1888,2005,0,0
810,Hamburg Steak with Onions,25,20,20,1900,1941,0.35,0.75
821,Lemon Soda,10,188,191,1890,1953,0.05,10
823,Clysmic,7,166,168,1892,1928,0.15,40
828,1/4 chicken,11,5,5,1900,1944,0,1
830,Roast Duck,10,85,85,1892,1993,0,15.25
832,Hunyadi,7,29,30,1891,1933,0.1,40
